ISBN号         书名                                              	价格 	数量           
9787302257646  	程序设计基础                                      	25   	0    
9787302219972  	单片机技术及应用                                  	32   	0    
9787302203513  	编译原理                                          	46   	0    
9787811234923  	汇编语言程序设计教程                              	21   	34   
9787512100831  	计算机操作系统                                    	17   	0    
9787302265436  	计算机导论实验指导                                	18   	0    
9787302180630  	实用数据结构                                      	29   	0    
9787302225065  	数据结构（C语言版）                               	38   	56   
9787302171676  	C#面向对象程序设计                                	39   	0    
9787302250692  	C语言程序设计                                     	42   	0    
9787302150664  	数据库原理                                        	35   	0    
9787302260806  	Java编程与实践                                    	56   	0    
9787302252887  	Java程序设计与应用教程                            	39   	0    
9787302198505  	嵌入式操作系统及编程                              	25   	0    
9787302169666  	软件测试                                          	24   	4    
9787811231557  	Eclipse基础与应用                                 	35   	5    
               	                                                  	-6.27744e+66	-842150451
 
